Отметка времени,Мальчик или девочка?,Как часто тебя били в детстве?,Оцените ваш уровень вегетарианца по 5-ти бальной шкале,Что такое два.ч?,Твоя ориентация?,"Погулять вечером после тяжкого рабочего дня, или посычевать дома?",Как часто играешь в игры?,Сериалы?,А книги? ,Вы таки антисемит? ,Какой предмет ближе всего по душе?,Как вы относитесь к аннексии Крыма?,Владимир Путин - ,Как хорошо вы знаете английский?,Было ли раньше лучше? ,А какие жанры фильмов любишь? 
09.06.2019 23:22:11,Девочка,Не били,2,Не знаю,Гетеро,Сычевать,1,1,3,Нет,Литература,Положительно,Краб,"Чуть лучше, чем ничего",Нет,"Детектив, Аниме, Драма, Комедия, Исторический фильм, Трагедия, Фантастика"
09.06.2019 23:27:43,Мальчик,Разве что по делу,2,Ненавижу Абу,Гетеро,Сычевать,3,1,2,Нет,Матеша,Мне всё равно,человек,Хорошо,Нет,"Детектив, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:30:07,Девочка,Разве что по делу,2,Паблик в вк,Гетеро,Гулять,0,1,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец",Хорошо,Нет,"Боевик, Детектив, Комедия, Мелодрама, Фантастика"
09.06.2019 23:30:08,Мальчик,Разве что по делу,0,Лучшая борда рунета,Гетеро,Гулять,2,3,4,Нет,Информатика,Отрицательно,"Политик, лидер и боец",Хорошо,"А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Комедия, Мелодрама, Исторический фильм, Фантастика"
09.06.2019 23:31:38,Мальчик,Не били,1,Ненавижу Абу,Гетеро,Сычевать,6,4,3,Нет,Информатика,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Драма, Комедия, Исторический фильм, Фильм ужасов"
09.06.2019 23:32:14,Мальчик,Разве что по делу,0,Ненавижу Абу,Би,Сычевать,7,7,7,Нет,Информатика,Мне всё равно,Молодец,НЭЙТИВ ИНГЛИШ СПИКЕР,Нет,Аниме
09.06.2019 23:33:29,Мальчик,Разве что по делу,0,Паблик в вк,Гетеро,Сычевать,2,5,5,Нет,Информатика,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик, Детектив, Аниме, Драма, Комедия, Мелодрама, Исторический фильм, Трагедия, Фильм ужасов, Фантастика"
09.06.2019 23:34:41,Девочка,Разве что по делу,1,Не знаю,Альтернативная,Сычевать,1,4,4,Я просто боюсь евреев,Матеша,Мне всё равно,"Политик, лидер и боец","Чуть лучше, чем ничего",Нет,"Боевик, Аниме, Драма, Комедия, Мелодрама, Фильм ужасов, Фантастика"
09.06.2019 23:34:49,Мальчик,Не били,1,Лучшая борда рунета,Гетеро,Сычевать,0,0,0,Нет,Информатика,Положительно,"Политик, лидер и боец",Нормально,Нет,Драма
09.06.2019 23:35:04,Мальчик,Не били,0,Паблик в вк,Гетеро,Сычевать,0,0,0,Я просто боюсь евреев,Матеша,Положительно,ЛЮБЛЮ РОССИЮ,Оригатоё гайзаймас,"А колбаса какая, колбаса...",Аниме
